word,phonetic_spelling,phonemes
Texas,TEK-sus,T EH  K S AH  S
Utah,YOO-taw,Y UW  T AO
Vermont,vur-MONT,V ER  M AA  N T
Virginia,vur-JIN-yuh,V ER  JH IH  N Y AH
Washington,WASH-ing-tuhn,W AA  SH IH  NG T AH  N
Wisconsin,wis-KON-sin,W IH  S K AA  N S AH  N
Wyoming,why-OH-ming,W AY  OW  M IH  NG
Capitols,,K AE  P IH  T AH  L Z
Montgomery,mont-GOM-uh-ree,M AA  N T G AH  M R IY
Juneau,JOO-noh,JH UW  N OW
Phoenix,FEE-niks,F IY  N IH  K S
Sacramento,sak-ruh-MEN-toh,S AE  K R AH  M EH  N T OW
Denver,DEN-vur,D EH  N V ER
Hartford,HART-furd,HH AA  R T F ER  D
Dover,DOH-vur,D OW  V ER
Tallahassee,tal-uh-HAS-ee,T AE  L AH  HH AE  S IY
Atlanta,at-LAN-tuh,AE  T L AE  N T AH
Honolulu,hoh-noh-LOO-loo,HH AA  N AH  L UW  L UW
Boise,BOY-see,B OY  Z IY
Springfield,SPRING-feeld,S P R IH  NG F IY  L D
Indianapolis,in-dee-uh-NAP-uh-lis,IH  N D IY  AH  N AE  P AH  L IH  S
Topeka,toh-PEE-kuh,T AH  P IY  K AH
Frankfort,FRANK-furt,F R AE  NG K F ER  T
Augusta,aw-GUS-tuh,AH  G AH  S T AH
Annapolis,uh-NAP-uh-lis,AH  N AE  P AH  L IH  S
Boston,BAW-stuhn,B AA  S T AH  N
Lansing,LAN-sing,L AE  N S IH  NG
Jackson,JAK-suhn,JH AE  K S AH  N
Helena,HEL-uh-nuh,HH EH  L AH  N AH
Lincoln,LIN-kun,L IH  NG K AH  N
Concord,KON-kord,K AA  N K AO  R D
Trenton,TREN-tuhn,T R EH  N T AH  N
Albany,AWL-buh-nee,AO  L B AH  N IY
Raleigh,RAW-lee,R AO  L IY
Bismarck,BIZ-mark,B IH  Z M AA  R K
Columbus,kuh-LUM-bus,K AH  L AH  M B AH  S
Salem,SAY-luhm,S EY  L AH  M
Harrisburg,HAIR-iss-burg,HH AE  R IH  S B ER  G
Providence,PROH-vuh-denss,P R AA  V AH  D AH  N S
Columbia,kuh-LUM-bee-uh,K AH  L AH  M B IY  AH
Pierre,PEE-ur,P IY  EH  R
Nashville,NASH-vil,N AE  SH V IH  L
Austin,AW-stin,AO  S T AH  N
Montpelier,mont-PEEL-yur,M AA  N T P IY  L IY  ER
Richmond,RICH-muhnd,R IH  CH M AH  N D
Olympia,oh-LIM-pee-uh,OW  L IH  M P IY  AH
Charleston,CHARL-stuhn,CH AA  R L S T AH  N
Madison,MAD-uh-suhn,M AE  D AH  S AH  N
Cheyenne,shy-AN,SH AY  AE  N
London,LUN-dun,L AH  N D AH  N
Paris,PAIR-iss,P EH  R IH  S
Tokyo,TOH-kee-oh,T OW  K IY  OW
Singapore,SING-uh-pawr,S IH  NG AH  P AO  R
Dubai,doo-BYE,D UW  B AY
Barcelona,bar-suh-LOH-nuh,B AA  R S IH  L OW  N AH
Amsterdam,AM-stur-dam,AE  M S T ER  D AE  M
Seoul,SOUL,S OW  L
Rome,ROHM,R OW  M
Prague,PRAHG,P R AA  G
Madrid,muh-DRID,M AH  D R IH  D
Berlin,bur-LIN,B ER  L IH  N
Chicago,shih-KAH-goh,SH AH  K AA  G OW
Beijing,BAY-jing,B EY  ZH IH  NG
Istanbul,IS-tan-bool,IH  S T AA  N B UW  L
Dublin,DUB-lin,D AH  B L IH  N
Vienna,vee-EN-uh,V IY  EH  N AH
Milan,mih-LAHN,M AH  L AA  N
Toronto,tuh-RON-toh,T ER  AA  N T OW
Boston,BAW-stun,B AA  S T AH  N
Budapest,BOO-duh-pesht,B UW  D AH  P EH  S T
Riyadh,ree-YAHD,R IY  AE  D
Stockholm,STAWK-hohm,S T AA  K HH OW  L M
Munich,MYOO-nik,M Y UW  N IH  K
Melbourne,MEL-burn,M EH  L B ER  N
Lisbon,LIZ-bun,L IH  Z B AH  N
Seattle,see-AT-ul,S IY  AE  T AH  L
Sydney,SID-nee,S IH  D N IY
Brussels,BRUSS-ulz,B R AH  S AH  L Z
Bangkok,BANG-kok,B AE  NG K AA  K
Warsaw,WAR-saw,W AO  R S AO
Copenhagen,KOH-pun-hay-gun,K OW  P AH  N HH EY  G AH  N
Taipei,TY-pay,T AY  P EY
Austin,AWS-tin,AO  S T AH  N
Oslo,AWZ-loh,AA  Z L OW
Osaka,OH-sah-kah,OW  S AA  K AH
Hong Kong,HONG kong,HH AO  NG K AO  NG
Athens,ATH-enz,AE  TH AH  N Z
Frankfurt,FRANK-furt,F R AE  NG K F ER  T
Vancouver,van-KOO-vur,V AE  N K UW  V ER
Orlando,awr-LAN-doh,AO  R L AE  N D OW
Helsinki,HEL-sin-kee,HH EH  L S IH  NG K IY
Miami,my-AM-ee,M AY  AE  M IY
Hamburg,HAM-burg,HH AE  M B ER  G
Brisbane,BRIZ-bun,B R IH  Z B EY  N
Kuwait,koo-WAYT,K UW  W EY  T
Montreal,mon-tree-AWL,M AH  N T R IY  AO  L
Glasgow,GLAZ-goh,G L AE  S K OW
Shanghai,shang-HY,SH AE  NG HH AY
Auckland,AWK-lund,AA  K L AH  N D
Atlanta,at-LAN-tuh,AE  T L AE  N T AH
Houston,HYOO-stun,HH Y UW  S T AH  N
Philadelphia,fill-uh-DEL-fee-uh,F IH  L AH  D EH  L F IY  AH
Naples,NAY-pulz,N EY  P AH  L Z
Denver,DEN-vur,D EH  N V ER
Nashville,NASH-vil,N AE  SH V IH  L
Manchester,MAN-chess-tur,M AE  N CH EH  S T ER
Dallas,DAL-uhs,D AE  L AH  S
Liverpool,LIV-ur-pool,L IH  V ER  P UW  L
Minneapolis,MIN-ee-AP-oh-lis,M IH  N IY  AE  P AH  L IH  S
Minsk,MINSK,M IH  N S K
Lyon,lee-OHN,L AY  AH  N
Portland,PORT-lund,P AO  R T L AH  N D
Rotterdam,RAH-tur-dam,R AA  T ER  D AE  M
Valencia,vuh-LEN-see-uh,V AH  L EH  N S IY  AH
Santiago,san-tee-AH-goh,S AE  N T IY  AA  G OW
Birmingham,BUR-ming-uhm,B ER  M IH  NG HH AE  M
Bucharest,BOO-kuh-rest,B Y UW  K ER  EH  S T
Leeds,LEEDZ,L IY  D Z
Muscat,MUHS-kat,M AH  S K AE  T
Ottawa,AW-tuh-wuh,AA  T AH  W AA
Cologne,kuh-LOHN,K AH  L OW  N
Charlotte,SHAR-luht,SH AA  R L AH  T
Calgary,KAL-guh-ree,K AE  L G ER  IY
Nagoya,nah-GOY-ah,N AH  G OY  AH
Hanoi,ha-NOY,HH AE  N OY
Gothenburg,GOTH-en-burg,G OW  T AH  N B ER  G
Sapporo,sah-POH-roh,S AH  P AO  R OW
Bilbao,bill-BOW,B IH  L B AW
Baltimore,BAL-tih-more,B AO  L T AH  M AO  R
Companies,,K AH  M P AH  N IY  Z
Cadence,KAY-dens,K EY  D AH  N S
Comcast,KOM-kast,K AA  M K AE  S T
Deloitte,dih-LOIT,D AH  L OY  T
Orrick,OR-ik,AO  R IH  K
Slalom,SLAH-luhm,S L AA  L AH  M
Box,BOKS,B AA  K S
Nationwide,NAY-shuhn-wahyd,N EY  SH AH  N W AY  D
Intuit,IN-too-it,IH  N T UW  AH  T
Adobe,uh-DOH-bee,AH  D OW  B IY
Crowe,KROH,K R OW
Baird,BAIRD,B EH  R D
Progressive,pruh-GRES-iv,P R AH  G R EH  S IH  V
MetLife,MET-lahyf,M EH  T L AY  F
Visa,VEE-zuh,V IY  Z AH
Ryan,RYE-uhn,R AY  AH  N
Sheetz,SHEETS,SH IY  T S
Merck,MERK,M ER  K
Mastercard,MAS-tur-kard,M AE  S T ER  K AA  R D
Target,TAR-zhay (or TAR-get in the U.S.),T AA  R G AH  T
Alight,uh-LYT,AH  L AY  T
Grainger,GRAYN-jer,G R AA  IH  NG ER
Dow,DOW,D AW
Stryker,STRY-ker,S T R AY  K ER
Walmart,WALL-mart,W AO  L M AA  R T
McDonald's,mik-DON-uhldz,M AH  K D AA  N AH  L D Z
Subway,SUHB-way,S AH  B W EY
Starbucks,STAR-buhks,S T AA  R B AH  K S
Domino's,DOM-uh-nohz,D AA  M IH  N OW  Z
Dunkin',DUN-kin,D AH  NG K IH  N
Wendy's,WEN-deez,W EH  N D IY  Z
Hardee's,HAR-deez,HH AA  R D IY  Z
Popeyes,POP-ize,P AO  P AY  Z
Arby's,AR-beez,AA  R B IY  Z
Applebee's,AP-uhl-beez,AE  P AH  L B IY  Z
Denny's,DEN-eez,D EH  N IY  Z
Cinnabon,SIN-uh-bon,S IH  N AH  B AO  N
Chili's,CHIL-eez,CH IH  L IY  Z
Culver's,KUL-vurz,K AH  L V ER  Z
Sbarro,sbah-ROH,S B AA  R OW
Walmart,WALL-mart,W AO  L M AA  R T
Target,TAR-jay (or TAR-get in the U.S.),T AA  R G AH  T
Aldi,AWL-dee,AA  L D IY
Macy's,MAY-seeze,M EY  S IY  Z
Kohl's,KOHLZ,K OW  L Z
Nordstrom,NORD-strum,N AO  R D S T R AH  M
Gap,GAP,G AE  P
Burlington,BUR-ling-tuhn,B ER  L IH  NG T AH  N
PetSmart,PET-smart,P EH  T S M AA  R T
Amway,AM-way,AE  M W EY
Dillard's,DIL-urds,D IH  L ER  D Z
Staples,STAY-puhls,S T EY  P AH  L Z
Ingles,ING-guhls,IH  NG G AH  L Z
Tapestry,TAP-uh-stree,T AE  P AH  S T R IY
